iata,lat,lon,country,icao,tz,city,subd,size
ICY,59.96902,-141.66177,US,19AK,America/Anchorage,Icy Bay,Alaska,small
HGZ,66.17613,-155.68482,US,2AK6,America/Anchorage,Hogatza,Alaska,small
GWV,30.59317,-89.87348,US,2LA8,America/Chicago,Bush,Louisiana,small
FWL,62.50918,-153.89063,US,0AA4,America/Anchorage,Farewell,Alaska,small
CYT,60.08085,-142.49549,US,0AA1,America/Anchorage,Yakataga,Alaska,small
CSE,38.85194,-106.93282,US,0CO2,America/Denver,Crested Butte,Colorado,small
CUS,31.82371,-107.62697,US,0NM0,America/Denver,Columbus,New Mexico,small
OCA,25.32432,-80.27573,US,07FA,America/New_York,Key Largo,Florida,small
JCY,30.25181,-98.62253,US,0TE7,America/Chicago,Johnson City,Texas,small
BYW,48.57899,-122.82629,US,38WA,America/Los_Angeles,Blakely Island,Washington,small
DRF,60.58887,-152.16198,US,3AK5,America/Anchorage,Kenai,Alaska,small
RFK,32.95429,-90.84593,US,5MS1,America/Chicago,Rolling Fork,Mississippi,small
BCS,29.86604,-90.02229,US,65LA,America/Chicago,Belle Chasse,Louisiana,small
CTO,40.9,-72.8,US,3NY8,America/New_York,Calverton,New York,small
BDF,41.23087,-89.61565,US,3IS8,America/Chicago,Bradford,Illinois,small
GZO,-8.09778,156.864,SB,AGGN,Pacific/Guadalcanal,Gizo,,small
SSW,48.67288,-123.17575,US,7WA5,America/Los_Angeles,Stuart Island,Washington,small
AXB,44.31672,-75.89967,US,89NY,America/New_York,Alexandria Bay,New York,small
FOB,39.47433,-123.79557,US,82CL,America/Los_Angeles,Fort Bragg,California,small
MHN,42.04216,-101.05966,US,84NE,America/Chicago,Mullen,Nebraska,small
EGM,-8.57889,157.87601,SB,AGGS,Pacific/Guadalcanal,Sege,,small
AYU,-6.33806,145.90417,PG,AYAY,Pacific/Port_Moresby,Aiyura Valley,Eastern Highlands,small
GMI,-6.27111,150.33099,PG,AYGT,Pacific/Port_Moresby,Gasmata Island,West New Britain,small
MYX,-7.21167,146.01936,PG,AYMC,Pacific/Port_Moresby,Menyamya,Morobe,small
JUV,72.7902,-56.1306,GL,BGUK,America/Nuuk,Upernavik,,small
BJD,66.0219,-14.8244,IS,BIBK,Atlantic/Reykjavik,Bakkafjordur,Northeast,small
BLO,65.645,-20.2875,IS,BIBL,Atlantic/Reykjavik,Blonduos,Northwest,small
RFN,66.4064,-15.9183,IS,BIRG,Atlantic/Reykjavik,Raufarhofn,Northeast,small
YMB,50.1228,-120.747,CA,CAD5,America/Vancouver,Merritt,British Columbia,small
ZEL,52.185,-128.157,CA,CBBC,America/Vancouver,Bella Bella,British Columbia,small
YJP,53.3192,-117.753,CA,CEC4,America/Edmonton,Hinton,Alberta,small
YLS,49.0303,-77.0172,CA,CSH4,America/Toronto,Lebel-sur-Quevillon,Quebec,small
AFT,-9.19139,160.94861,SB,AGAF,Pacific/Guadalcanal,Bila,Malaita,small
BPF,-8.56203,158.11931,SB,AGBT,Pacific/Guadalcanal,Batuna Mission Station,Western Province,small
RBV,-8.16806,157.64301,SB,AGRM,Pacific/Guadalcanal,Ramata,,small
HED,55.80139,-160.89925,US,AK33,America/Anchorage,Herendeen Bay,Alaska,small
BUA,-5.42232,154.673,PG,AYBK,Pacific/Port_Moresby,Buka Island,Bougainville,small
FAQ,-4.61047,141.96014,PG,AYFR,Pacific/Port_Moresby,Frieda River,East Sepik,small
LMY,-7.00992,141.494,PG,AYLM,Pacific/Port_Moresby,Lake Murray,Western Province,small
SIM,-5.27861,144.54472,PG,AYSJ,Pacific/Port_Moresby,Simbai,Western Highlands,small
JAV,69.2432,-51.0571,GL,BGJN,America/Nuuk,Ilulissat,,small
SGG,65.90583,-36.37833,GL,BGSG,America/Nuuk,Sermiligaaq,Sermersooq,small
BXV,64.79,-14.0228,IS,BIBV,Atlantic/Reykjavik,Breiddalsvik,East,small
FAG,63.8747,-16.6411,IS,BIFM,Atlantic/Reykjavik,Fagurholsmyri,East,small
RKV,64.13,-21.9406,IS,BIRK,Atlantic/Reykjavik,Reykjavik,Capital Region,medium
YAA,52.4525,-125.303,CA,CAJ4,America/Vancouver,Anahim Lake,British Columbia,small
XQU,49.3372,-124.394,CA,CAT4,America/Vancouver,Qualicum Beach,British Columbia,small
VEV,-7.91278,156.70599,SB,AGBA,Pacific/Guadalcanal,Barakoma,,small
SCZ,-10.7203,165.795,SB,AGGL,Pacific/Guadalcanal,Santa Cruz/Graciosa Bay/Luova,Temotu,small
KGE,-7.333,157.58299,SB,AGKG,Pacific/Guadalcanal,Kagau Island,,small
RIN,-8.12639,157.14301,SB,AGRC,Pacific/Guadalcanal,Ringi Cove,,small
SOL,64.56064,-164.44233,US,AK26,America/Nome,Solomon,Alaska,small
ATP,-3.14361,142.34681,PG,AYAI,Pacific/Port_Moresby,Aitape,Sandaun,small
KPM,-5.38167,143.92472,PG,AYAQ,Pacific/Port_Moresby,,Enga,small
PNP,-8.80454,148.30901,PG,AYGR,Pacific/Port_Moresby,Popondetta,Northern Province,small
GVI,-3.90224,141.17052,PG,AYGV,Pacific/Port_Moresby,Green River,Sandaun,small
HGU,-5.82679,144.29601,PG,AYMH,Pacific/Port_Moresby,Mount Hagen,Western Highlands,small
JEG,68.7218,-52.7847,GL,BGAA,America/Nuuk,Aasiaat,Qaasuitsup,small
JSU,65.4125,-52.9394,GL,BGMQ,America/Nuuk,Maniitsoq,,small
HFN,64.2956,-15.2272,IS,BIHN,Atlantic/Reykjavik,Hornafjordur,East,small
HZK,65.9523,-17.426,IS,BIHU,Atlantic/Reykjavik,Husavik,Northeast,small
RHA,65.45263,-22.20612,IS,BIRE,Atlantic/Reykjavik,Reykholar,Westfjords,small
YHA,52.5281,-56.2861,CA,CCP4,America/St_Johns,Port Hope Simpson,Newfoundland and Labrador,small
GEF,-7.57583,156.597,SB,AGEV,Pacific/Guadalcanal,Liangia,,small
LWI,-6.3344,146.6458,PG,AYLO,Pacific/Port_Moresby,Lowai,Morobe Province,small
BGJ,65.5164,-13.805,IS,BIBF,Atlantic/Reykjavik,Borgarfjordur eystri,East,small
DJU,64.6442,-14.2828,IS,BIDV,Atlantic/Reykjavik,Djupivogur,East,small
GRY,66.5458,-18.0173,IS,BIGR,Atlantic/Reykjavik,Grimsey,Northeast,small
OLI,64.9114,-23.8231,IS,BIRF,Atlantic/Reykjavik,Rif,West,small
VEY,63.4243,-20.2789,IS,BIVM,Atlantic/Reykjavik,Vestmannaeyjar,South,small
YBO,56.9667,-130.25,CA,CBW4,America/Vancouver,Bob Quinn Lake,British Columbia,small
YNO,52.49,-92.9711,CA,CKQ3,America/Winnipeg,North Spirit Lake,Ontario,small
HIR,-9.428,160.05499,SB,AGGH,Pacific/Guadalcanal,Honiara,Guadalcanal,small
MFO,-5.57778,151.79233,PG,AYNG,Pacific/Port_Moresby,Manguna,East New Britain,small
LAE,-6.56983,146.726,PG,AYNZ,Pacific/Port_Moresby,Nadzab,Morobe,small
TBG,-5.27861,141.226,PG,AYTB,Pacific/Port_Moresby,Tabubil,Western Province,small
WBM,-5.6433,143.895,PG,AYWD,Pacific/Port_Moresby,,Enga,small
CNP,70.7431,-22.6505,GL,BGCO,America/Scoresbysund,Neerlerit Inaat,Sermersooq,small
JQA,70.7342,-52.6962,GL,BGUQ,America/Nuuk,Uummannaq,,small
THO,66.2185,-15.3356,IS,BITN,Atlantic/Reykjavik,Thorshofn,Northeast,small
YCA,49.6794,-124.982,CA,CAH3,America/Vancouver,Courtenay,British Columbia,small
DUQ,48.75453,-123.7097,CA,CAM3,America/Vancouver,Duncan,British Columbia,small
YHS,49.4606,-123.719,CA,CAP3,America/Vancouver,Sechelt-Gibsons,British Columbia,small
YLE,63.1317,-117.246,CA,CEM3,America/Edmonton,Whati,Northwest Territories,small
NML,57.0556,-111.574,CA,CER4,America/Edmonton,Fort McMurray,Alberta,small
AVU,-9.86833,160.41056,SB,AGGJ,Pacific/Guadalcanal,,Guadalcanal,small
KWS,-8.36051,160.77513,SB,AGKW,Pacific/Guadalcanal,Kwailabesi,,small
GTA,-8.73917,158.20306,SB,AGOK,Pacific/Guadalcanal,Gatokae,,small
ADC,-7.13722,145.74472,PG,AYAN,Pacific/Port_Moresby,Andekombe,Gulf,small
AWB,-8.00611,142.74835,PG,AYAW,Pacific/Port_Moresby,Awaba,Western Province,small
BUL,-7.21629,146.64954,PG,AYBU,Pacific/Port_Moresby,Bulolo,Morobe,small
DER,-6.14472,147.10722,PG,AYDE,Pacific/Port_Moresby,Derim,Morobe,small
HKN,-5.46217,150.405,PG,AYHK,Pacific/Port_Moresby,Hoskins,West New Britain,small
KDR,-6.2659,149.5581,PG,AYKC,Pacific/Port_Moresby,Kandrian,West New Britain,small
SKC,-8.0466,141.7222,PG,AYSU,Pacific/Port_Moresby,Suki,Western Province,small
TFM,-5.12608,141.64192,PG,AYTE,Pacific/Port_Moresby,Telefomin,Western Province,small
WTP,-8.54583,147.2525,PG,AYWT,Pacific/Port_Moresby,Fatima Mission,Central Province,small
UAK,61.1605,-45.426,GL,BGBW,America/Nuuk,Narsarsuaq,Kujalleq,small
GOH,64.1909,-51.6781,GL,BGGH,America/Nuuk,Nuuk,,small
FAS,64.9317,-14.0606,IS,BIFF,Atlantic/Reykjavik,Faskrudsfjordur,East,small
GUU,64.9914,-23.2247,IS,BIGF,Atlantic/Reykjavik,Grundarfjordur,West,small
GJR,65.9953,-21.3269,IS,BIGJ,Atlantic/Reykjavik,Gjogur,Westfjords,small
PRN,42.57283,21.03583,XK,BKPR,Europe/Belgrade,Lipjan,Pristina,small
YTX,57.9167,-131.117,CA,CBM5,America/Vancouver,Telegraph Creek,British Columbia,small
MBU,-9.7475,159.839,SB,AGGI,Pacific/Guadalcanal,Mbambanakira,Guadalcanal,small
IRA,-10.4497,161.89799,SB,AGGK,Pacific/Guadalcanal,Kirakira,,small
VMU,-7.49686,144.8199,PG,AYBA,Pacific/Port_Moresby,Baimuru,Gulf,small
GKA,-6.08169,145.392,PG,AYGA,Pacific/Port_Moresby,Goronka,Eastern Highlands,small
GRL,-7.98071,147.21346,PG,AYGG,Pacific/Port_Moresby,Au,Morobe,small
KRJ,-4.59667,143.5225,PG,AYQA,Pacific/Port_Moresby,,East Sepik,small
KMR,-6.4921,144.823,PG,AYRI,Pacific/Port_Moresby,Karimui,Chimbu,small
SBE,-6.10444,142.27833,PG,AYSA,Pacific/Port_Moresby,,Western Province,small
TIZ,-5.845,142.948,PG,AYTA,Pacific/Port_Moresby,Tari,Southern Highlands,small
TAJ,-3.19819,142.43096,PG,AYTJ,Pacific/Port_Moresby,Aitape,Sandaun,small
TKW,-5.24367,142.16519,PG,AYTN,Pacific/Port_Moresby,Tekin,Sandaun,small
AGL,-9.3375,149.15556,PG,AYWG,Pacific/Port_Moresby,,Northern Province,small
WWK,-3.58383,143.66901,PG,AYWK,Pacific/Port_Moresby,Wewak,East Sepik,small
JHS,66.9513,-53.7293,GL,BGSS,America/Nuuk,Sisimiut,,small
HVK,65.7047,-21.6964,IS,BIHK,Atlantic/Reykjavik,Holmavik,Westfjords,small
FLI,66.01418,-23.44169,IS,BIHT,Atlantic/Reykjavik,Flateyri,Westfjords,small
SIJ,66.1333,-18.9167,IS,BISI,Atlantic/Reykjavik,Siglufjordur,Northeast,small
VPN,65.7206,-14.8506,IS,BIVO,Atlantic/Reykjavik,Vopnafjordur,East,small
SRF,38.01687,-122.52081,US,CA35,America/Los_Angeles,San Rafael,California,small
YBI,53.4694,-55.785,CA,CCE4,America/Halifax,Black Tickle,Newfoundland and Labrador,small
YFX,52.3728,-55.6739,CA,CCK4,America/St_Johns,St. Lewis,Newfoundland and Labrador,small
YBC,49.1325,-68.2044,CA,CYBC,America/Toronto,Baie-Comeau,Quebec,small
YBY,54.3042,-110.744,CA,CYBF,America/Edmonton,Bonnyville,Alberta,small
YCG,49.2964,-117.632,CA,CYCG,America/Vancouver,Castlegar,British Columbia,small
YEV,68.3042,-133.483,CA,CYEV,America/Inuvik,Inuvik,Northwest Territories,small
YFA,52.2014,-81.6969,CA,CYFA,America/Toronto,Fort Albany,Ontario,small
YFS,61.7602,-121.237,CA,CYFS,America/Edmonton,Fort Simpson,Northwest Territories,small
YGV,50.2819,-63.6114,CA,CYGV,America/Toronto,Havre St-Pierre,Quebec,small
CXH,49.2945,-123.11133,CA,CYHC,America/Vancouver,Vancouver,British Columbia,small
YLD,47.82,-83.3467,CA,CYLD,America/Toronto,Chapleau,Ontario,small
YLL,53.3092,-110.073,CA,CYLL,America/Edmonton,Lloydminster,Saskatchewan,small
YOJ,58.6214,-117.165,CA,CYOJ,America/Edmonton,High Level,Alberta,small
YPH,58.4719,-78.0769,CA,CYPH,America/Toronto,Inukjuak,Quebec,small
YPY,58.7672,-111.117,CA,CYPY,America/Edmonton,Fort Chipewyan,Alberta,small
YQN,50.1828,-86.6964,CA,CYQN,America/Toronto,Nakina,Ontario,small
YRT,62.8114,-92.1158,CA,CYRT,America/Winnipeg,Rankin Inlet,Nunavut,small
YVM,67.5458,-64.0314,CA,CYVM,America/Toronto,Qikiqtarjuaq,Nunavut,small
YVR,49.1939,-123.184,CA,CYVR,America/Vancouver,Richmond,British Columbia,large
YWA,45.9522,-77.3192,CA,CYWA,America/Toronto,Petawawa,Ontario,small
YXU,43.0356,-81.1539,CA,CYXU,America/Toronto,London,Ontario,small
YYQ,58.7392,-94.065,CA,CYYQ,America/Winnipeg,Churchill,Manitoba,small
YZR,42.9994,-82.3089,CA,CYZR,America/Toronto,Sarnia,Ontario,small
ZKE,52.2825,-81.6778,CA,CZKE,America/Toronto,Kashechewan,Ontario,small
ZPB,53.8911,-92.1964,CA,CZPB,America/Winnipeg,Sachigo Lake,Ontario,small
ZSJ,53.0642,-93.3444,CA,CZSJ,America/Winnipeg,Sandy Lake,Ontario,small
TGR,33.0678,6.08867,DZ,DAUK,Africa/Algiers,Touggourt,Ouargla,small
DIM,6.65167,-4.64056,CI,DIDK,Africa/Abidjan,Dimbokro,Lacs,small
MJC,7.27207,-7.58736,CI,DIMN,Africa/Abidjan,,Montagnes,small
KAD,10.696,7.32011,NG,DNKA,Africa/Lagos,Kaduna,Kaduna,small
GAF,34.422,8.8225,TN,DTTF,Africa/Tunis,Gafsa,Gafsa,small
IES,51.29361,13.35611,DE,EDAU,Europe/Berlin,Riesa,Saxony,small
NUE,49.4987,11.0669,DE,EDDN,Europe/Berlin,Nuremberg,Bayern,medium
SCN,49.2146,7.10951,DE,EDDR,Europe/Berlin,Saarbrucken,Saarland,small
FMM,47.9888,10.2395,DE,EDJA,Europe/Berlin,Memmingen,Bayern,medium
AAH,50.82306,6.18639,DE,EDKA,Europe/Berlin,Aachen,Nordrhein-Westfalen,small
ESS,51.4023,6.93733,DE,EDLE,Europe/Berlin,,Nordrhein-Westfalen,small
OBF,48.0814,11.2831,DE,EDMO,Europe/Berlin,,Bayern,small
FDH,47.6713,9.51149,DE,EDNY,Europe/Berlin,Friedrichshafen,Baden-Württemberg,medium
YNP,55.9139,-61.1844,CA,CNH2,America/Goose_Bay,Natuashish,Newfoundland and Labrador,small
YAC,51.7272,-91.8244,CA,CYAC,America/Winnipeg,Cat Lake,Ontario,small
YAG,48.6542,-93.4397,CA,CYAG,America/Winnipeg,Fort Frances,Ontario,small
QBC,52.3875,-126.596,CA,CYBD,America/Vancouver,Bella Coola,British Columbia,small
YDA,64.0431,-139.12801,CA,CYDA,America/Vancouver,Dawson City,Yukon,small
YDF,49.2108,-57.3914,CA,CYDF,America/St_Johns,Deer Lake,Newfoundland and Labrador,small
YGX,56.3575,-94.7106,CA,CYGX,America/Winnipeg,Gillam,Manitoba,small
YQC,61.0464,-69.6178,CA,CYHA,America/Toronto,Quaqtaq,Quebec,small
YHE,49.3683,-121.498,CA,CYHE,America/Vancouver,Hope,British Columbia,small
YKJ,57.2561,-105.618,CA,CYKJ,America/Regina,Key Lake,Saskatchewan,small
AKV,60.8186,-78.1486,CA,CYKO,America/Toronto,Akulivik,Quebec,small
YKX,48.2103,-79.9814,CA,CYKX,America/Toronto,Kirkland Lake,Ontario,small
YLB,54.7703,-112.032,CA,CYLB,America/Edmonton,Lac La Biche,Alberta,small
YLT,82.5178,-62.2806,CA,CYLT,America/Toronto,Alert,Nunavut,small
YMG,49.0839,-85.8606,CA,CYMG,America/Toronto,Manitouwadge,Ontario,small
YPG,49.9031,-98.2739,CA,CYPG,America/Winnipeg,Portage,Manitoba,small
YQG,42.2756,-82.9556,CA,CYQG,America/Toronto,Windsor,Ontario,small
ZAC,56.0894,-96.0892,CA,CZAC,America/Winnipeg,York Landing,Manitoba,small
ZBF,47.6297,-65.7389,CA,CZBF,America/Halifax,Bathurst,New Brunswick,small
ZGF,49.0156,-118.431,CA,CZGF,America/Vancouver,Grand Forks,British Columbia,small
ZRJ,52.9436,-91.3128,CA,CZRJ,America/Winnipeg,Round Lake,Ontario,small
TMR,22.8115,5.45108,DZ,DAAT,Africa/Algiers,Tamanrasset,Tamanrasset,small
INZ,27.251,2.51202,DZ,DAUI,Africa/Algiers,In Salah,Tamanrasset,small
IAM,28.0515,9.64291,DZ,DAUZ,Africa/Algiers,Amenas,Illizi,small
DOR,14.033,-0.033,BF,DFEE,Africa/Ouagadougou,Dori,Sahel,small
TML,9.55719,-0.86321,GH,DGLE,Africa/Accra,Tamale,,small
TKD,4.89606,-1.77476,GH,DGTK,Africa/Accra,Sekondi-Takoradi,Western,small
YTT,52.8367,-104.067,CA,CJY3,America/Regina,Tisdale,Saskatchewan,small
XBE,53.9656,-91.0272,CA,CNE3,America/Winnipeg,Bearskin Lake,Ontario,small
XBR,44.6394,-75.7503,CA,CNL3,America/Toronto,Brockville,Ontario,small
ZLT,50.8308,-58.9756,CA,CTU5,America/Blanc-Sablon,La Tabatiere,Quebec,small
YAH,53.7547,-73.6753,CA,CYAH,America/Toronto,La Grande-4,Quebec,small
YAL,50.5822,-126.916,CA,CYAL,America/Vancouver,Alert Bay,British Columbia,small
YAT,52.9275,-82.4319,CA,CYAT,America/Toronto,Attawapiskat,Ontario,small
YDO,48.7785,-72.375,CA,CYDO,America/Toronto,Dolbeau-St-Felicien,Quebec,small
YGH,66.2408,-128.651,CA,CYGH,America/Edmonton,Fort Good Hope,Northwest Territories,small
YHR,50.4689,-59.6367,CA,CYHR,America/Blanc-Sablon,Chevery,Quebec,small
YLW,49.9561,-119.378,CA,CYLW,America/Vancouver,Kelowna,British Columbia,small
YMJ,50.3303,-105.559,CA,CYMJ,America/Regina,Moose Jaw,Saskatchewan,small
YOA,64.6989,-110.615,CA,CYOA,America/Edmonton,Ekati,Northwest Territories,small
YOD,54.405,-110.279,CA,CYOD,America/Edmonton,Cold Lake,Alberta,small
YQS,42.77,-81.1108,CA,CYQS,America/Toronto,St Thomas,Ontario,small
YQY,46.1614,-60.0478,CA,CYQY,America/Glace_Bay,Sydney,Nova Scotia,small
YRA,64.1161,-117.31,CA,CYRA,America/Yellowknife,Gameti,Northwest Territories,small
YVB,48.0711,-65.4603,CA,CYVB,America/Toronto,Bonaventure,Quebec,small
YXC,49.6108,-115.782,CA,CYXC,America/Edmonton,Cranbrook,British Columbia,small
YXE,52.1708,-106.7,CA,CYXE,America/Regina,Saskatoon,Saskatchewan,medium
YYH,69.5467,-93.5767,CA,CYYH,America/Edmonton,Taloyoak,Nunavut,small
YZG,62.1794,-75.6672,CA,CYZG,America/Toronto,Salluit,Quebec,small
YZP,53.2543,-131.814,CA,CYZP,America/Vancouver,Sandspit,British Columbia,small
ZUM,53.5619,-64.1064,CA,CZUM,America/Halifax,Churchill Falls,Newfoundland and Labrador,small
YSA,43.93035,-59.95977,CA,CSB2,America/Halifax,Sable Island,Nova Scotia,small
YFG,54.5539,-71.1733,CA,CTU2,America/Toronto,Fontanges,Quebec,small
YBG,48.3306,-70.9964,CA,CYBG,America/Toronto,Bagotville,Quebec,small
YBT,57.8894,-101.679,CA,CYBT,America/Winnipeg,Brochet,Manitoba,small
YDP,56.5492,-61.6803,CA,CYDP,America/Halifax,Nain,Newfoundland and Labrador,small
YFB,63.7564,-68.5558,CA,CYFB,America/Toronto,Iqaluit,Nunavut,small
YGB,49.6942,-124.518,CA,CYGB,America/Vancouver,Texada,British Columbia,small
YHI,70.7628,-117.806,CA,CYHI,America/Yellowknife,Ulukhaktok,Northwest Territories,small
YHT,60.7892,-137.54601,CA,CYHT,America/Whitehorse,Haines Junction,Yukon,small
YHZ,44.8808,-63.5086,CA,CYHZ,America/Halifax,Halifax,Nova Scotia,large
YIV,53.8572,-94.6536,CA,CYIV,America/Winnipeg,Island Lake,Manitoba,small
YLJ,54.1253,-108.523,CA,CYLJ,America/Regina,Meadow Lake,Saskatchewan,small
YNA,50.19,-61.7892,CA,CYNA,America/Toronto,Natashquan,Quebec,small
YLY,49.1008,-122.631,CA,CYNJ,America/Vancouver,Langley,British Columbia,small
YOP,58.4914,-119.408,CA,CYOP,America/Edmonton,Rainbow Lake,Alberta,small
YPW,49.8342,-124.5,CA,CYPW,America/Vancouver,Powell River,British Columbia,small
YQQ,49.7108,-124.887,CA,CYQQ,America/Vancouver,Comox,British Columbia,small
YQZ,53.0261,-122.51,CA,CYQZ,America/Vancouver,Quesnel,British Columbia,small
YRQ,46.3528,-72.6794,CA,CYRQ,America/Toronto,Trois-Rivieres,Quebec,small
YSJ,45.3161,-65.8903,CA,CYSJ,America/Halifax,Saint John,New Brunswick,small
YSM,60.0203,-111.962,CA,CYSM,America/Edmonton,Fort Smith,Northwest Territories,small
YWG,49.91,-97.2399,CA,CYWG,America/Winnipeg,Winnipeg,Manitoba,large
YYR,53.3192,-60.4258,CA,CYYR,America/Goose_Bay,Goose Bay,Newfoundland and Labrador,small
ILF,56.0614,-95.6139,CA,CZBD,America/Winnipeg,Ilford,Manitoba,small
ZFD,59.3344,-107.182,CA,CZFD,America/Regina,Fond-Du-Lac,Saskatchewan,small
ZMT,54.0275,-132.125,CA,CZMT,America/Vancouver,Masset,British Columbia,small
XPP,53.0,-97.2667,CA,CZNG,America/Winnipeg,Poplar River,Manitoba,small
BUJ,35.3325,4.20639,DZ,DAAD,Africa/Algiers,,M'Sila,small
QSF,36.1781,5.32449,DZ,DAAS,Africa/Algiers,Setif,Setif,small
GJL,36.7951,5.87361,DZ,DAAV,Africa/Algiers,Jijel,Jijel,small
ORN,35.6239,-0.62118,DZ,DAOO,Africa/Algiers,Oran,Oran,small
EBH,33.72167,1.0925,DZ,DAOY,Africa/Algiers,El Bayadh,El-Bayadh,small
TMX,29.2371,0.27603,DZ,DAUT,Africa/Algiers,Timimoun,Adrar,small
DGU,12.459,-3.49,BF,DFOD,Africa/Ouagadougou,Dedougou,,small
SPY,4.74672,-6.66082,CI,DISP,Africa/Abidjan,,Bas-Sassandra,small
KAN,12.0476,8.52462,NG,DNKN,Africa/Lagos,Kano,Kano,small
DRS,51.1328,13.7672,DE,EDDC,Europe/Berlin,Dresden,Saxony,medium
YSO,54.9106,-59.7867,CA,CCD4,America/Halifax,Postville,Newfoundland and Labrador,small
YFI,57.27583,-110.97667,CA,CFG6,America/Edmonton,Suncor Energy Site,Alberta,small
YDW,60.3164,-103.129,CA,CKV4,America/Yellowknife,Obre Lake,Northwest Territories,small
YOE,55.7094,-117.094,CA,CFM4,America/Edmonton,Donnelly,Alberta,small
YCH,47.0078,-65.4492,CA,CYCH,America/Halifax,Miramichi,New Brunswick,small
YCQ,55.6872,-121.627,CA,CYCQ,America/Dawson_Creek,Chetwynd,British Columbia,small
YCR,54.6106,-97.7608,CA,CYCR,America/Winnipeg,Cross Lake,Manitoba,small
YEM,45.8428,-81.8581,CA,CYEM,America/Toronto,Manitowaning,Ontario,small
YTM,46.4094,-74.78,CA,CYFJ,America/Toronto,Riviere Rouge,Quebec,small
YHD,49.8317,-92.7442,CA,CYHD,America/Winnipeg,Dryden,Ontario,small
YPJ,59.2967,-69.5997,CA,CYLA,America/Toronto,Aupaluk,Quebec,small
YMA,63.6164,-135.868,CA,CYMA,America/Vancouver,Mayo,Yukon,small
YNC,53.0106,-78.8311,CA,CYNC,America/Toronto,Wemindji,Quebec,small
YOO,43.9228,-78.895,CA,CYOO,America/Toronto,Oshawa,Ontario,small
YOW,45.3225,-75.6692,CA,CYOW,America/Toronto,Ottawa,Ontario,large
YPA,53.2142,-105.673,CA,CYPA,America/Regina,Prince Albert,Saskatchewan,small
YPR,54.2861,-130.44501,CA,CYPR,America/Vancouver,Prince Rupert,British Columbia,small
YQF,52.1822,-113.894,CA,CYQF,America/Edmonton,Red Deer,Alberta,small
YTS,48.5697,-81.3767,CA,CYTS,America/Toronto,Timmins,Ontario,small
YUX,68.7761,-81.2436,CA,CYUX,America/Toronto,Hall Beach,Nunavut,small
YVZ,52.6558,-94.0614,CA,CYVZ,America/Winnipeg,Deer Lake,Ontario,small
YFJ,64.1908,-114.077,CA,CYWE,America/Edmonton,Wekweeti,Northwest Territories,small
PIW,55.5889,-97.1642,CA,CZMN,America/Winnipeg,Pikwitonei,Manitoba,small
GWT,54.9132,8.34047,DE,EDXW,Europe/Berlin,Westerland,Schleswig-Holstein,small
KAO,65.9876,29.2394,FI,EFKS,Europe/Helsinki,Kuusamo,Northern Ostrobothnia,small
KTT,67.701,24.8468,FI,EFKT,Europe/Helsinki,Kittila,Lapland,small
MIK,61.6866,27.2018,FI,EFMI,Europe/Helsinki,Mikkeli,Southern Savonia,small
BMW,21.375,0.92389,DZ,DATM,Africa/Algiers,Bordj Badji Mokhtar,Adrar,small
ELU,33.5114,6.77679,DZ,DAUO,Africa/Algiers,Guemar,El-Oued,small
XDJ,14.1,-1.633,BF,DFCJ,Africa/Ouagadougou,Djibo,Sahel,small
DIP,12.05,1.783,BF,DFED,Africa/Ouagadougou,Diapaga,,small
ARL,11.597,1.483,BF,DFER,Africa/Ouagadougou,Arly,,small
ZSS,4.92833,-6.13278,CI,DISS,Africa/Abidjan,Sassandra,,small
GMO,10.29833,10.89639,NG,DNGO,Africa/Lagos,Gombe,Bauchi,small
QOW,5.42706,7.20603,NG,DNIM,Africa/Lagos,Owerri,Imo,small
JOS,9.63983,8.86905,NG,DNJO,Africa/Lagos,Jos,Plateau,small
LFW,6.16561,1.25451,TG,DXXX,Africa/Lome,Lome,Maritime,medium
REB,53.30639,12.75222,DE,EDAX,Europe/Berlin,Larz,Mecklenburg-Vorpommern,small
MUC,48.3538,11.7861,DE,EDDM,Europe/Berlin,Munich,Bayern,large
LBC,53.8054,10.7192,DE,EDHL,Europe/Berlin,Lubeck,Schleswig-Holstein,small
BNJ,50.76889,7.16333,DE,EDKB,Europe/Berlin,Bonn,Nordrhein-Westfalen,medium
ZQW,49.2094,7.40056,DE,EDRZ,Europe/Berlin,Zweibrucken,Rheinland-Pfalz,small
BWE,52.3192,10.5561,DE,EDVE,Europe/Berlin,,Niedersachsen,small
HEI,54.15333,8.90167,DE,EDXB,Europe/Berlin,Busum,Schleswig-Holstein,small
HEL,60.3172,24.9633,FI,EFHK,Europe/Helsinki,Helsinki,Uusimaa,large
IVL,68.6073,27.4053,FI,EFIV,Europe/Helsinki,Ivalo,Lapland,small
KEM,65.7787,24.5821,FI,EFKE,Europe/Helsinki,Kemi / Tornio,Lapland,small
KAJ,64.2855,27.6924,FI,EFKI,Europe/Helsinki,Kajaani,Kainuu,small
RBM,48.90083,12.51667,DE,EDMS,Europe/Berlin,Straubing,Bayern,small
URD,49.79417,11.13361,DE,EDQE,Europe/Berlin,Ebermannstadt,Bayern,small
HOQ,50.28861,11.85639,DE,EDQM,Europe/Berlin,Hof,Bayern,small
WVN,53.50222,8.05222,DE,EDWI,Europe/Berlin,Wilhelmshaven,Niedersachsen,small
YAB,73.00577,-85.04251,CA,CYAB,America/Rankin_Inlet,,Nunavut,small
