iata,lat,lon,country,icao,tz,city,subd,size
XMC,-37.5983,149.72,AU,YMCO,Australia/Hobart,,Victoria,small
RRE,-29.6633,138.065,AU,YMRE,Australia/Adelaide,,South Australia,small
MKV,-25.9667,133.2,AU,YMVG,Australia/Darwin,,Northern Territory,small
NRG,-32.93,117.08,AU,YNRG,Australia/Perth,,Western Australia,small
OSO,-22.0817,140.55499,AU,YOSB,Australia/Brisbane,,Queensland,small
ADL,-34.945,138.53101,AU,YPAD,Australia/Adelaide,Adelaide,South Australia,large
GOV,-12.2694,136.81799,AU,YPGV,Australia/Darwin,Nhulunbuy,Northern Territory,small
KPS,-31.0744,152.77,AU,YKMP,Australia/Sydney,,New South Wales,small
LOC,-33.5442,135.69299,AU,YLOK,Australia/Adelaide,Lock,South Australia,small
LTV,-17.0483,141.37601,AU,YLOV,Australia/Brisbane,Lotus Vale,Queensland,small
MKR,-26.6117,118.548,AU,YMEK,Australia/Perth,,Western Australia,small
MMG,-28.1161,117.842,AU,YMOG,Australia/Perth,,Western Australia,small
MRZ,-29.4989,149.845,AU,YMOR,Australia/Sydney,Moree,New South Wales,small
MTD,-16.9783,130.55499,AU,YMSF,Australia/Darwin,,Northern Territory,small
MNQ,-24.8858,151.10001,AU,YMTO,Australia/Brisbane,,Queensland,small
MNE,-28.0092,138.657,AU,YMUG,Australia/Adelaide,Mungeranie,South Australia,small
MYI,-9.91667,144.05499,AU,YMUI,Australia/Brisbane,Murray Island,Queensland,small
RPM,-14.7228,134.74699,AU,YNGU,Australia/Darwin,,Northern Territory,small
ZNE,-23.4178,119.803,AU,YNWN,Australia/Perth,Newman,Western Australia,small
PMK,-18.7553,146.58099,AU,YPAM,Australia/Brisbane,,Queensland,small
KNI,-33.7167,117.633,AU,YKNG,Australia/Perth,,Western Australia,small
LER,-27.8433,120.703,AU,YLST,Australia/Perth,,Western Australia,small
MRG,-17.0692,145.41901,AU,YMBA,Australia/Brisbane,,Queensland,small
MEB,-37.7281,144.90199,AU,YMEN,Australia/Melbourne,,Victoria,large
MLV,-13.05,142.483,AU,YMEU,Australia/Brisbane,,Queensland,small
MNG,-12.0561,134.23399,AU,YMGD,Australia/Darwin,Maningrida,Northern Territory,small
MQZ,-33.9306,115.1,AU,YMGT,Australia/Perth,,Western Australia,small
LST,-41.5453,147.214,AU,YMLT,Australia/Melbourne,Launceston,Tasmania,small
MQE,-22.8058,137.25101,AU,YMQA,Australia/Darwin,Marqua,Northern Territory,small
OPI,-12.325,133.006,AU,YOEN,Australia/Darwin,,Northern Territory,small
PDE,-26.1167,139.39999,AU,YPDI,Australia/Adelaide,,South Australia,small
JAD,-32.0975,115.881,AU,YPJT,Australia/Perth,Perth,Western Australia,large
BBL,-27.4083,141.808,AU,YLLE,Australia/Brisbane,,Queensland,small
DGE,-32.5625,149.61099,AU,YMDG,Australia/Sydney,Mudgee,New South Wales,small
WLE,-26.8083,150.175,AU,YMLS,Australia/Brisbane,,Queensland,small
MWB,-29.2017,116.022,AU,YMRW,Australia/Perth,,Western Australia,small
NTN,-17.6836,141.07001,AU,YNTN,Australia/Brisbane,,Queensland,small
NUB,-14.2717,135.717,AU,YNUM,Australia/Darwin,,Northern Territory,small
PPI,-33.2389,137.995,AU,YPIR,Australia/Adelaide,,South Australia,small
LNO,-28.8781,121.315,AU,YLEO,Australia/Perth,Leonora,Western Australia,small
LHG,-29.4567,147.98399,AU,YLRD,Australia/Sydney,,New South Wales,small
LUT,-15.1833,144.367,AU,YLRS,Australia/Brisbane,,Queensland,small
